,train_f1,train_precision,train_recall,valid_f1,valid_precision,valid_recall,valid_acc
holdout_climate,0.6727466770156205,0.8553102257308499,0.5544095306628288,0.3869610935856993,0.5777080062794349,0.2909090909090909,0.4463768115942029
holdout_deathpenalty,0.6989036242638963,0.8719388364592044,0.5831735378715245,0.4406587166382737,0.47505356596265685,0.41090812814402966,0.4352660841938046
holdout_guncontrol,0.7037363930567814,0.8743968416435152,0.5888144938952343,0.4896247240618102,0.6533778476040848,0.391503883266651,0.5280065897858319
holdout_immigration,0.7016137321410216,0.8728900255754476,0.5865268946554391,0.39552238805970147,0.6342241723175109,0.2873667088378818,0.4671968190854871
holdout_samesex,0.6717265693859563,0.8579111944965604,0.551943349159089,0.586635127143702,0.7065527065527065,0.5015166835187057,0.6011122345803842
holdout_tobacco,0.6541265675123943,0.8632456703014753,0.5265670240237891,0.4832924296771758,0.6256109481915934,0.39372500768994156,0.5333743463549677
mean,0.6838089272292783,0.8659487990345088,0.5652391383779842,0.46378241319439373,0.6120878744846645,0.3793215837277168,0.5018888142657797
