,train_f1,train_precision,train_recall,valid_f1,valid_precision,valid_recall,valid_acc
holdout_climate,0.5607506875910047,0.8613320079522863,0.4156872151595107,0.30293092846894853,0.6817343173431735,0.19472990777338603,0.4819499341238472
holdout_deathpenalty,0.559903804110188,0.886159169550173,0.40923617769255355,0.4029539251886338,0.5118270799347472,0.3322742917659518,0.4191157002912364
holdout_guncontrol,0.5841090861413399,0.8738721067085131,0.4386569515557306,0.45623605256632777,0.7664537628436545,0.3247823017180513,0.5471875735467169
holdout_immigration,0.5832187070151307,0.8757314974182444,0.43718852036432376,0.28837072018890203,0.7860016090104586,0.1765769022230255,0.47786011205494305
holdout_samesex,0.5476831748474689,0.8640305237599722,0.40090126337812826,0.5448570489648373,0.7784037558685446,0.4191102123356926,0.5819009100101112
holdout_tobacco,0.56661223199705,0.8668600902643456,0.42084670161984505,0.4205567451820128,0.6920366455250176,0.302060904337127,0.5312211627191633
mean,0.5670462819503638,0.871330899275589,0.42041947162834864,0.4026509034266104,0.7027428617542659,0.2915890866922057,0.5065392321243364
