,train_f1,train_precision,train_recall,valid_f1,valid_precision,valid_recall,valid_acc
holdout_climate,0.5799081994575424,0.8340585146286572,0.4444710961861358,0.2615576842982091,0.6236345580933466,0.16548089591567852,0.34677206851119896
holdout_deathpenalty,0.622379746835443,0.8495991152889134,0.49105145413870244,0.4355021904916437,0.5624476110645432,0.35530844585649984,0.4532697908392904
holdout_guncontrol,0.6362127267138027,0.8469471271893927,0.5094525403702245,0.48574721475220894,0.699800752711977,0.37196987526476816,0.5457754765827253
holdout_immigration,0.6129191051796751,0.8431903686982694,0.4814401099845334,0.3850437549721559,0.7227476356396217,0.2624254473161034,0.5075004518344478
holdout_samesex,0.5822110867522706,0.8285544495617293,0.44878088034119257,0.5719739144265945,0.7713427713427713,0.4544994944388271,0.6097067745197169
holdout_tobacco,0.6104760958155253,0.8364428707612692,0.4806322873464277,0.46756978653530373,0.702652683528686,0.3503537373115964,0.5524454014149492
mean,0.6073511601257099,0.8397987410213719,0.4759713947278694,0.4345657575793527,0.6804376687301575,0.32667298268391226,0.5025783272837215
