,train_f1,train_precision,train_recall,valid_f1,valid_precision,valid_recall,valid_acc
holdout_climate,0.6118262474998718,0.8531178489702517,0.47693291756616296,0.35607068212046356,0.638283378746594,0.2469038208168643,0.47035573122529645
holdout_deathpenalty,0.6297500508026823,0.8646763392857143,0.49520613614573344,0.43021148036253776,0.5008793527963419,0.377018797987821,0.4318241990998147
holdout_guncontrol,0.6323630672926448,0.8680185598900154,0.49734147302087434,0.4730448590710599,0.7271174029777886,0.3505530713108967,0.5433043068957402
holdout_immigration,0.6401389718256337,0.8692319032876309,0.5066162570888468,0.34591626630061767,0.7191780821917808,0.22772456172058558,0.47912524850894633
holdout_samesex,0.6243071237938821,0.861839308488026,0.4894182023014404,0.5742604924887719,0.7413034786085566,0.46865520728008087,0.5932760364004045
holdout_tobacco,0.6448001571246195,0.8654277052853565,0.5138117223569919,0.48652722818918404,0.6279182879377432,0.397108581974777,0.5361427253152876
mean,0.6305309363898891,0.8637186108678324,0.4965544514133416,0.4443385014221058,0.6591133305431341,0.34466067351517093,0.5090047079075817
