,train_f1,train_precision,train_recall,valid_f1,valid_precision,valid_recall,valid_acc
holdout_climate,0.5529615218331172,0.8530932132733033,0.4090509314783721,0.23831267666884104,0.681592039800995,0.14440052700922265,0.34440052700922263
holdout_deathpenalty,0.5670324940822035,0.8679183135704874,0.42106104186641097,0.40616786402663396,0.6005181347150259,0.30685729414879537,0.4548583531903627
holdout_guncontrol,0.54971932638332,0.8554492512479202,0.40498227648680585,0.4346561751625043,0.795554164057608,0.2990115321252059,0.5590727229936455
holdout_immigration,0.5573104169086054,0.859419770773639,0.4123560749269634,0.33427681856778935,0.7703848662752772,0.21344659316826314,0.49430688595698535
holdout_samesex,0.5485015557617774,0.8526816021724372,0.40428100104610926,0.543169037380086,0.785645933014354,0.41506572295247723,0.6001011122345804
holdout_tobacco,0.5345800419152024,0.8531732418524871,0.3892323342984584,0.3748533896317148,0.7895256916996047,0.2457705321439557,0.5389111042756075
mean,0.551684226147371,0.8569558988150457,0.4068272766838534,0.3885726602395949,0.7372034715938108,0.27075870025798665,0.4986084509434006
