word,Economic,Capacity and Resources,Morality,Fairness and Equality,"Legality, Constitutionality, Jurisdiction",Policy Prescription and Evaluation,Crime and Punishment,Security and Defense,Health and Safety,Quality of Life,Cultural Identity,Public Sentiment,Political,External Regulation and Reputation,Other
county,-0.049228963,0.07893932,-0.0664325,-0.044496384,-0.018305436,0.034664027,0.083860144,-0.05595977,-0.051738895,0.044744607,-0.008678322,0.033926398,0.010268866,-0.016113142,-0.0010776996
product,0.040121846,0.027177067,0.09311137,0.017526811,0.056508448,0.0323137,0.040556096,-0.07020793,0.047445312,-0.11462194,-0.07923333,-0.07879742,-0.0013661151,0.090289935,0.0056134383
time,-0.100402966,0.06358081,-0.027363447,0.05725542,-0.050877236,-0.10451848,0.10145259,-0.07048439,0.028104955,0.047827028,0.091701254,-0.046874557,0.048992347,-0.07286588,0.0006785706
settlement,0.07291167,0.01073995,-0.11610331,-0.06942542,0.057904694,-0.089946054,-0.079751104,-0.046840474,-0.009027464,-0.08100241,-0.058749475,0.0009468926,-0.041594833,-0.0053624962,-0.00455438
court,-0.083905816,-0.074773185,-0.074164435,-0.02913808,0.097182035,-0.09636414,0.07503357,-0.059456743,-0.06094438,0.003028297,-0.09626462,-0.06481665,-0.1070266,0.011128023,-0.004354554
group,-0.007691983,-0.08343338,0.042155016,0.09320178,0.08417746,0.010834406,-0.12967251,-0.06817134,-0.06052229,0.060665898,0.10893455,0.06454073,-0.010442174,-0.015516312,0.0062565836
first,-0.05727953,0.03709438,-0.083942145,0.08360398,0.06245428,-0.03237916,0.062085398,-0.06576187,0.08881948,0.01980749,-0.00733749,-0.042639356,-0.029611252,-0.081813395,0.00029371248
study,0.06283818,-0.07797932,0.0015109542,-0.09636131,-0.071669124,-0.09966479,0.07956261,0.08550879,0.07493816,-0.08805469,-0.009999719,-0.120073445,-0.09867593,-0.08076779,-0.0011878819
nicotine,-0.12197876,0.08491432,0.07789123,-0.01787055,-0.095072016,-0.068106756,-0.07006766,-0.06268119,0.095888585,-0.0010721373,-0.054973222,-0.097306736,-0.07228539,-0.08742903,-0.0057867453
restaurant,0.0939198,-0.0736704,-0.08095816,0.09082098,-0.050966397,0.047288902,-0.098231554,-0.068812646,-0.0633922,0.042808224,-0.10307236,0.044488516,-0.06371947,-0.044241477,-0.0010112884
morris,0.08937536,-0.06703608,0.011502124,0.049978063,0.0014872624,-0.08509041,-0.03289412,-0.045209788,-0.082148544,-0.073616736,-0.001998936,-0.08846034,-0.0140210595,0.015593126,0.0022716334
two,-0.0005043438,0.075157054,0.07344635,-0.09762086,0.08051849,-0.036648672,0.08009051,-0.06199558,0.03501329,-0.065696515,0.033790562,-0.096030094,-0.06978036,-0.037076984,-0.0030754427
philip,0.09408333,-0.0688834,0.011865323,0.052659515,0.011756261,-0.0877381,-0.028227752,-0.052285478,-0.08010807,-0.07254528,-0.006744695,-0.09299266,-0.06310119,0.024441388,0.0033463556
program,0.032514878,-0.09413512,-0.05365425,-0.07581415,-0.03283531,0.10765304,-0.08188234,-0.06265621,-0.015908163,0.11106033,-0.070137694,0.052051377,0.03798943,-0.10153038,-0.00394912
lawsuit,-0.09269161,-0.082637236,-0.006463755,-0.054057367,0.083530284,-0.07898016,-0.09551318,-0.05989556,-0.071143284,-0.082978964,-0.049404547,-0.07077356,-0.06475185,0.064822644,-0.0014362184
lung,-0.08593618,0.061198443,-0.093795925,-0.11110183,-0.061648637,-0.073950164,-0.10068345,-0.055603758,0.08381261,0.0019034633,-0.10811467,-0.09265441,-0.019659482,-0.029821372,-0.0014720374
u,-0.0671771,0.088561006,0.095159926,0.08310146,0.046300612,-0.036230303,0.09753868,0.07512845,-0.08405403,0.024666151,-0.022479754,0.075932994,-0.044565957,0.10087638,0.005149213
federal,0.018388128,0.03317921,0.035563067,-0.025067326,0.08251702,-0.017741093,0.087075114,0.08741977,-0.03466407,0.046792842,-0.05450085,-0.090366654,-0.020162273,-0.107942976,0.00434441
money,0.10250254,-0.094759144,0.037772324,0.060057238,-0.105292395,-0.11342833,0.010091117,-0.062951215,-0.05866923,-0.05414587,-0.050338313,-0.07410876,0.0645337,-0.073139824,0.00067946804
government,0.022655562,0.07648811,-0.058552347,0.103877455,0.010180084,0.024157327,-0.04485353,-0.068407625,-0.041610997,0.014043391,-0.02311666,-0.054683182,0.09409334,0.08941434,0.0053110835
general,-0.08525942,0.043634716,-0.004302829,-0.07321945,0.08345074,-0.05316172,-0.090000734,-0.05134553,0.065171026,-0.027136382,-0.034064498,-0.06307385,0.024695065,0.036709853,0.0051144627
make,0.06595878,0.0854888,0.041322727,-0.09943265,0.07813545,-0.018365573,-0.006514898,0.0806582,0.009519084,0.042207688,-0.03585292,-0.078380205,-0.101531945,0.047434654,-0.004237212
school,-0.0997364,0.054910664,0.077033184,-0.09933297,-0.060101625,0.03137635,-0.0030917772,-0.07583181,0.07068497,0.05426719,0.046998557,0.03393128,0.035071474,-0.089317665,-0.00095380645
day,-0.046530474,-0.08091068,0.02120328,-0.03439897,0.051258825,-0.074268244,0.07383407,-0.06165111,0.051284004,0.048861057,0.0016442612,0.081852116,-0.03366157,0.015399162,-0.003708063
attorney,-0.1079663,0.04367696,-0.01785608,-0.04513376,0.08507529,-0.075789556,0.09782325,-0.058764756,-0.06602145,-0.07422207,-0.062085386,-0.06737658,-0.10341568,-0.0070496486,0.003743634
week,-0.04711054,0.036370844,0.0016980268,-0.054047126,0.08485132,-0.07045352,0.013425838,-0.055051867,0.054044206,-0.075539924,0.036776878,-0.016348742,0.071359694,0.041737538,0.0012016995
