,train_f1,train_precision,train_recall,valid_f1,valid_precision,valid_recall,valid_acc
holdout_climate,0.5212647517256735,0.8579805754077332,0.37435036379627407,0.21149943630214207,0.7328125,0.1235836627140975,0.3359683794466403
holdout_deathpenalty,0.5520554675984058,0.8715738665747285,0.40396292745286033,0.39764411922184545,0.6100766703176341,0.29494307651575324,0.45353455123113584
holdout_guncontrol,0.5294437644498844,0.8556043956043956,0.38332020480504136,0.4228351955307263,0.8187964841108857,0.28500823723228996,0.5626029654036244
holdout_immigration,0.5693354868481771,0.8660933660933661,0.4240419316033683,0.34114839253123685,0.7641509433962265,0.21959154165913608,0.4986444966564251
holdout_samesex,0.5010269283432223,0.8608116055675358,0.35334352619296694,0.5220500595947556,0.7996870109546166,0.38751263902932254,0.5877148634984833
holdout_tobacco,0.5086775043936732,0.8530116043470253,0.36239142342906333,0.3364986608229852,0.8072429906542056,0.2125499846201169,0.5299907720701322
mean,0.5303006505598394,0.8608459022657974,0.3835683962132624,0.37194597733394863,0.7554610999055947,0.253864856961786,0.4947426713844069
